"","hgnc_symbol","entrezgene","ensembl_gene_id","chromosome_name","start_position","end_position","band"
"160","IL22RA1",58985,"ENSG00000142677","1",24119771,24143121,"p36.11"
"161","ISG15",9636,"ENSG00000187608","1",1001138,1014541,"p36.33"
"162","KAZN",23254,"ENSG00000189337","1",13892792,15118043,"p36.21"
"163","KCNAB2",8514,"ENSG00000069424","1",5991466,6101193,"p36.31"
"164","KDM1A",23028,"ENSG00000004487","1",23019448,23083689,"p36.12"
"165","KIAA2013",90231,"ENSG00000116685","1",11919591,11926428,"p36.22"
"166","KIAA2013",102724984,"ENSG00000116685","1",11919591,11926428,"p36.22"
"167","KIF17",57576,"ENSG00000117245","1",20664014,20718017,"p36.12"
"168","KIF1B",23095,"ENSG00000054523","1",10210805,10381603,"p36.22"
"169","KLHDC7A",127707,"ENSG00000179023","1",18480982,18486126,"p36.13"
"170","KLHL17",339451,"ENSG00000187961","1",960587,965715,"p36.33"
"171","KLHL21",9903,"ENSG00000162413","1",6590724,6614607,"p36.31"
"172","LAPTM5",7805,"ENSG00000162511","1",30732469,30757820,"p35.2"
"173","LDLRAD2",401944,"ENSG00000187942","1",21812265,21825221,"p36.12"
"174","LDLRAP1",26119,"ENSG00000157978","1",25543580,25568886,"p36.11"
"175","LIN28A",79727,"ENSG00000131914","1",26410778,26429722,"p36.11"
"176","LINC00115",79854,"ENSG00000225880","1",826206,827522,"p36.33"
"177","LINC00339",29092,"ENSG00000218510","1",22024558,22031223,"p36.12"
"178","LRRC38",126755,"ENSG00000162494","1",13474977,13514048,"p36.21"
"179","LRRC47",57470,"ENSG00000130764","1",3778558,3796504,"p36.32"
"180","LUZP1",7798,"ENSG00000169641","1",23084023,23177808,"p36.12"
"181","LYPLA2",11313,"ENSG00000011009","1",23790970,23795539,"p36.11"
"182","LZIC",84328,"ENSG00000162441","1",9922113,9943407,"p36.22"
"183","MAD2L2",10459,"ENSG00000116670","1",11674480,11691650,"p36.22"
"184","MAN1C1",57134,"ENSG00000117643","1",25617468,25786207,"p36.11"
"185","MAP3K6",9064,"ENSG00000142733","1",27355184,27366892,"p36.11"
"186","MASP2",10747,"ENSG00000009724","1",11026523,11047233,"p36.22"
"187","MATN1",4146,"ENSG00000162510","1",30711277,30723587,"p35.2"
"188","MDS2",259283,"ENSG00000197880","1",23581495,23640568,"p36.12"
"189","MECR",51102,"ENSG00000116353","1",29192873,29230942,"p35.3"
"190","MED18",54797,"ENSG00000130772","1",28329002,28335967,"p35.3"
"191","MEGF6",1953,"ENSG00000162591","1",3489920,3611495,"p36.32"
"192","MFAP2",4237,"ENSG00000117122","1",16974502,16980835,"p36.13"
"193","MFN2",9927,"ENSG00000116688","1",11980181,12013514,"p36.22"
"194","MIB2",142678,"ENSG00000197530","1",1615415,1630610,"p36.33"
"195","MIIP",60672,"ENSG00000116691","1",12019466,12032045,"p36.22"
"196","MINOS1",440574,"ENSG00000173436","1",19596977,19629821,"p36.13"
"197","MIR1976",100302190,"ENSG00000238705","1",26554542,26554593,"p36.11"
"198","MIR1976",100302190,"ENSG00000280948","CHR_HG2058_PATCH",26554542,26554593,""
"199","MIR200A",406983,"ENSG00000207607","1",1167863,1167952,"p36.33"
"200","MIR200B",406984,"ENSG00000207730","1",1167104,1167198,"p36.33"
"201","MIR3115",100422866,"ENSG00000263793","1",23044305,23044372,"p36.12"
"202","MIR34A",407040,"ENSG00000284357","1",9151668,9151777,"p36.22"
"203","MIR3675",100500876,"ENSG00000263811","1",16858949,16859021,"p36.13"
"204","MIR378F",100616492,"ENSG00000264926","1",23929070,23929147,"p36.11"
"205","MIR3917",100500808,"ENSG00000283938","1",25906362,25906454,"p36.11"
"206","MIR4251",100422968,"ENSG00000283572","1",3127975,3128035,"p36.32"
"207","MIR4252",100422975,"ENSG00000265392","1",6429834,6429896,"p36.31"
"208","MIR4253",100422914,"ENSG00000264014","1",22863159,22863226,"p36.12"
"209","MIR429",554210,"ENSG00000198976","1",1169005,1169087,"p36.33"
"210","MIR4417",100616489,"ENSG00000264341","1",5564071,5564143,"p36.31"
"211","MIR4420",100616164,"ENSG00000264773","1",30739156,30739232,"p35.2"
"212","MIR4632",100616438,"ENSG00000263676","1",12191713,12191773,"p36.22"
"213","MIR4684",100616391,"ENSG00000265422","1",22719517,22719598,"p36.12"
"214","MIR4689",100616421,"ENSG00000264101","1",5862672,5862741,"p36.31"
"215","MIR4695",100616120,"ENSG00000265606","1",18883202,18883275,"p36.13"
"216","MIR551A",693135,"ENSG00000207776","1",3560695,3560790,"p36.32"
"217","MMEL1",79258,"ENSG00000277131","CHR_HSCHR1_1_CTG3",2590639,2632987,""
"218","MMEL1",79258,"ENSG00000142606","1",2590639,2632990,"p36.32"
"219","MMP23A",NA,"ENSG00000215914","1",1699942,1701782,"p36.33"
"220","MMP23B",8510,"ENSG00000189409","1",1632095,1635263,"p36.33"
"221","MORN1",79906,"ENSG00000116151","1",2321253,2391707,"p36.32"
"222","MRPL20",55052,"ENSG00000242485","1",1401908,1407313,"p36.33"
"223","MRTO4",51154,"ENSG00000053372","1",19251539,19260128,"p36.13"
"224","MST1P2",NA,"ENSG00000186301","1",16645622,16650289,"p36.13"
"225","MTHFR",4524,"ENSG00000177000","1",11785723,11806920,"p36.22"
"226","MTOR",2475,"ENSG00000198793","1",11106535,11262507,"p36.22"
"227","MUL1",79594,"ENSG00000090432","1",20499448,20508161,"p36.12"
"228","MXRA8",54587,"ENSG00000162576","1",1352689,1361777,"p36.33"
"229","MYOM3",127294,"ENSG00000142661","1",24056035,24112175,"p36.11"
"230","NADK",65220,"ENSG00000008130","1",1751232,1780457,"p36.33"
"231","NBL1",4681,"ENSG00000158747","1",19640554,19658456,"p36.13"
"232","NBPF1",101930059,"ENSG00000219481","1",16562319,16613562,"p36.13"
"233","NBPF3",84224,"ENSG00000142794","1",21440128,21485005,"p36.12"
"234","NECAP2",55707,"ENSG00000157191","1",16440672,16460078,"p36.13"
"235","NIPAL3",57185,"ENSG00000001461","1",24415794,24472976,"p36.11"
"236","NKAIN1",79570,"ENSG00000084628","1",31179745,31239554,"p35.2"
"237","NMNAT1",64802,"ENSG00000173614","1",9943428,9985501,"p36.22"
"238","NOC2L",26155,"ENSG00000188976","1",944204,959309,"p36.33"
"239","NOL9",79707,"ENSG00000162408","1",6521347,6554535,"p36.31"
"240","NPHP4",261734,"ENSG00000131697","1",5862811,5992473,"p36.31"
"241","NPPA",4878,"ENSG00000175206","1",11845709,11848345,"p36.22"
"242","NPPA-AS1",NA,"ENSG00000242349","1",11841017,11848079,"p36.22"
"243","NPPB",4879,"ENSG00000120937","1",11857464,11858931,"p36.22"
"244","NR0B2",8431,"ENSG00000131910","1",26911489,26913966,"p36.11"
"245","NUDC",10726,"ENSG00000090273","1",26900238,26946862,"p36.11"
"246","OPRD1",NA,"ENSG00000116329","1",28812142,28871267,"p35.3"
"247","OR4F16",81399,"ENSG00000284662","1",685679,686673,"p36.33"
"248","OR4F29",729759,"ENSG00000284733","1",450703,451697,"p36.33"
"249","OR4F3",26683,"ENSG00000230178","5",181367268,181368262,"q35.3"
"250","OR4F5",79501,"ENSG00000186092","1",65419,71585,"p36.33"
"251","OTUD3",23252,"ENSG00000169914","1",19882513,19912945,"p36.13"
"252","PADI1",29943,"ENSG00000142623","1",17205126,17246005,"p36.13"
"253","PADI1",29943,"ENSG00000281459","CHR_HG2095_PATCH",17205126,17246005,""
"254","PADI2",11240,"ENSG00000117115","1",17066761,17119435,"p36.13"
"255","PADI3",51702,"ENSG00000142619","1",17249098,17284233,"p36.13"
"256","PADI3",51702,"ENSG00000280549","CHR_HG2095_PATCH",17249098,17284233,""
"257","PADI4",23569,"ENSG00000159339","1",17308195,17364004,"p36.13"
"258","PADI4",23569,"ENSG00000280908","CHR_HG2095_PATCH",17310905,17366713,""
"259","PADI6",353238,"ENSG00000276747","1",17372196,17401699,"p36.13"
"260","PADI6",353238,"ENSG00000280949","CHR_HG2095_PATCH",17374905,17404408,""
"261","PAFAH2",5051,"ENSG00000158006","1",25959767,25998157,"p36.11"
"262","PANK4",55229,"ENSG00000157881","1",2508533,2526628,"p36.32"
"263","PANK4",55229,"ENSG00000273494","CHR_HSCHR1_1_CTG3",2508533,2526600,""
"264","PAQR7",164091,"ENSG00000182749","1",25861210,25871253,"p36.11"
"265","PARK7",11315,"ENSG00000116288","1",7954291,7985505,"p36.23"
"266","PAX7",5081,"ENSG00000009709","1",18631006,18748866,"p36.13"
"267","PDIK1L",149420,"ENSG00000175087","1",26111165,26125543,"p36.11"
"268","PDPN",10630,"ENSG00000162493","1",13583465,13617957,"p36.21"
"269","PER3",8863,"ENSG00000049246","1",7784320,7845177,"p36.23"
"270","PEX10",5192,"ENSG00000157911","1",2403964,2413797,"p36.32"
"271","PEX14",5195,"ENSG00000142655","1",10472288,10630758,"p36.22"
"272","PGD",5226,"ENSG00000142657","1",10398592,10420144,"p36.22"
"273","PHACTR4",65979,"ENSG00000204138","1",28369582,28500369,"p35.3"
"274","PHF13",148479,"ENSG00000116273","1",6613685,6624033,"p36.31"
"275","PIGV",55650,"ENSG00000060642","1",26787472,26798398,"p36.11"
"276","PIK3CD",5293,"ENSG00000171608","1",9651732,9729114,"p36.22"
"277","PINK1",65018,"ENSG00000158828","1",20633455,20651511,"p36.12"
"278","PITHD1",57095,"ENSG00000057757","1",23778405,23788232,"p36.11"
"279","PLA2G2A",5320,"ENSG00000188257","1",19975431,19980416,"p36.13"
"280","PLA2G2C",391013,"ENSG00000187980","1",20161253,20177424,"p36.12"
"281","PLA2G2D",26279,"ENSG00000117215","1",20111939,20119566,"p36.12"
"282","PLA2G2E",30814,"ENSG00000188784","1",19920009,19923617,"p36.13"
"283","PLA2G2F",64600,"ENSG00000158786","1",20139326,20150386,"p36.12"
"284","PLA2G5",5322,"ENSG00000127472","1",20028179,20091190,"p36.13"
"285","PLCH2",9651,"ENSG00000149527","1",2425980,2505530,"p36.32"
"286","PLCH2",9651,"ENSG00000276429","CHR_HSCHR1_1_CTG3",2467459,2505530,""
"287","PLEKHG5",57449,"ENSG00000171680","1",6466092,6520061,"p36.31"
"288","PLEKHM2",23207,"ENSG00000116786","1",15684332,15734769,"p36.21"
"289","PLEKHN1",84069,"ENSG00000187583","1",966497,975865,"p36.33"
"290","PLOD1",5351,"ENSG00000083444","1",11934205,11975538,"p36.22"
"291","PNRC2",55629,"ENSG00000189266","1",23959109,23963462,"p36.11"
"292","PPP1R8",5511,"ENSG00000117751","1",27830778,27851676,"p35.3"
"293","PQLC2",54896,"ENSG00000040487","1",19312326,19329300,"p36.13"
"294","PRAMEF1",65121,"ENSG00000116721","1",12791397,12796628,"p36.21"
"295","PRAMEF10",343071,"ENSG00000187545","1",12892896,12898270,"p36.21"
"296","PRAMEF10",343071,"ENSG00000282663","CHR_HG1342_HG2282_PATCH",12892896,12898270,""
"297","PRAMEF11",440560,"ENSG00000239810","1",12824605,12831410,"p36.21"
"298","PRAMEF11",440560,"ENSG00000281934","CHR_HG1342_HG2282_PATCH",12824605,12831410,""
"299","PRAMEF12",390999,"ENSG00000116726","1",12774841,12777906,"p36.21"
"300","PRAMEF13",65121,"ENSG00000279169","1",13196330,13201409,"p36.21"
"301","PRAMEF13",65122,"ENSG00000279169","1",13196330,13201409,"p36.21"
"302","PRAMEF13",400736,"ENSG00000279169","1",13196330,13201409,"p36.21"
"303","PRAMEF13",729528,"ENSG00000279169","1",13196330,13201409,"p36.21"
"304","PRAMEF13",65121,"ENSG00000282741","CHR_HG1342_HG2282_PATCH",13169157,13174236,""
"305","PRAMEF13",65122,"ENSG00000282741","CHR_HG1342_HG2282_PATCH",13169157,13174236,""
"306","PRAMEF13",400736,"ENSG00000282741","CHR_HG1342_HG2282_PATCH",13169157,13174236,""
"307","PRAMEF13",729528,"ENSG00000282741","CHR_HG1342_HG2282_PATCH",13169157,13174236,""
"308","PRAMEF14",729528,"ENSG00000204481","1",13342034,13347134,"p36.21"
"309","PRAMEF15",653619,"ENSG00000204501","1",13315581,13322598,"p36.21"
"310","PRAMEF17",391004,"ENSG00000204479","1",13389632,13392629,"p36.21"
"311","PRAMEF18",391003,"ENSG00000277853","CHR_HSCHR1_2_CTG3",13241912,13244686,""
"312","PRAMEF18",653606,"ENSG00000277853","CHR_HSCHR1_2_CTG3",13241912,13244686,""
"313","PRAMEF18",391003,"ENSG00000279804","1",13222705,13226106,"p36.21"
"314","PRAMEF18",391003,"ENSG00000282212","CHR_HG1342_HG2282_PATCH",13195532,13198933,""
"315","PRAMEF19",645414,"ENSG00000204480","1",13369067,13371693,"p36.21"
"316","PRAMEF2",65122,"ENSG00000120952","1",12857086,12861909,"p36.21"
"317","PRAMEF2",65122,"ENSG00000282817","CHR_HG1342_HG2282_PATCH",12857086,12861909,""
"318","PRAMEF20",645425,"ENSG00000204478","1",13410450,13421328,"p36.21"
"319","PRAMEF22",NA,"ENSG00000276816","CHR_HSCHR1_2_CTG3",13093633,13098515,""
"320","PRAMEF4",400735,"ENSG00000243073","1",12879224,12886201,"p36.21"
"321","PRAMEF4",400735,"ENSG00000282584","CHR_HG1342_HG2282_PATCH",12879224,12886201,""
"322","PRAMEF5",343068,"ENSG00000276420","CHR_HSCHR1_2_CTG3",13272778,13282015,""
"323","PRAMEF5",343068,"ENSG00000270601","1",13254212,13263314,"p36.21"
"324","PRAMEF5",343068,"ENSG00000282424","CHR_HG1342_HG2282_PATCH",13227039,13236141,""
"325","PRAMEF5",343068,"ENSG00000283150","CHR_HSCHR1_5_CTG3",13224452,13233554,""
"326","PRAMEF6",440561,"ENSG00000232423","1",12938472,12947580,"p36.21"
"327","PRAMEF6",440561,"ENSG00000282119","CHR_HG1342_HG2282_PATCH",12938472,12947580,""
"328","PRAMEF7",441871,"ENSG00000204510","1",12916610,12920482,"p36.21"
"329","PRAMEF7",441871,"ENSG00000279195","CHR_HG1342_HG2282_PATCH",12916610,12920482,""
"330","PRAMEF8",391002,"ENSG00000278021","CHR_HSCHR1_2_CTG3",13299884,13303717,""
"331","PRAMEF8",391002,"ENSG00000182330","1",13281035,13285174,"p36.21"
"332","PRAMEF8",391002,"ENSG00000282583","CHR_HG1342_HG2282_PATCH",13253862,13258001,""
"333","PRAMEF8",391002,"ENSG00000283387","CHR_HSCHR1_5_CTG3",13251275,13255414,""
"334","PRAMEF9",NA,"ENSG00000281573","CHR_HSCHR1_2_CTG3",13191011,13198026,""
"335","PRAMEF9",343070,"ENSG00000204505","1",13172455,13179464,"p36.21"
"336","PRAMEF9",343070,"ENSG00000282298","CHR_HG1342_HG2282_PATCH",13145282,13152291,""
"337","PRAMEF9",343070,"ENSG00000283139","CHR_HSCHR1_5_CTG3",13172455,13179464,""
"338","PRDM16",63976,"ENSG00000142611","1",3069168,3438621,"p36.32"
"339","PRDM2",7799,"ENSG00000116731","1",13700198,13825079,"p36.21"
"340","PRKCZ",5590,"ENSG00000067606","1",2050470,2185395,"p36.33"
"341","PTAFR",5724,"ENSG00000169403","1",28147166,28193936,"p35.3"
"342","PTPRU",10076,"ENSG00000060656","1",29236516,29326813,"p35.3"
"343","PUM1",9698,"ENSG00000134644","1",30931506,31065991,"p35.2"
"344","PUSL1",126789,"ENSG00000169972","1",1308567,1311677,"p36.33"
